status,recordation_number,appendix_name,production_2014_15_afy,production_pdf_page
unmatched,8000085,,0.0,336
unmatched,1901015,1 BAL,0.0,336
unmatched,1902084,2 LGY,0.0,336
unmatched,8000119,,0.0,336
unmatched,1902113,AVWC 1,0.0,336
unmatched,1902114,AVWC 2,0.0,336
unmatched,1901200,1,0.0,337
unmatched,1901201,2,0.0,337
unmatched,8000005,,0.0,337
unmatched,1900093,BURB,0.0,337
unmatched,1900358,FISH C,0.0,337
unmatched,1901182,1-E,0.0,337
unmatched,1900092,10,0.0,337
unmatched,1900917,HALL,0.0,337
unmatched,1900919,MISVW,0.0,337
unmatched,1900922,RIC-2,0.0,337
unmatched,1902783,2,0.0,338
unmatched,1900250,TEMP1,0.0,338
unmatched,1902968,,0.0,338
unmatched,8000008,2,0.0,338
unmatched,8000009,3,0.0,338
unmatched,8000104,LE 1,0.0,338
unmatched,8000105,LE 2,0.0,338
unmatched,8000106,LE 3,0.0,338
unmatched,8000107,LE 4,0.0,338
unmatched,8000129,E09A,0.0,338
unmatched,8000141,EX1,0.0,338
unmatched,8000142,EX2,0.0,338
unmatched,8000143,EX3,0.0,338
unmatched,8000144,EX4,0.0,338
unmatched,8000153,E16A,1.0,338
unmatched,8000154,E17A,3.0,338
unmatched,8000155,E18A,1.0,338
unmatched,8000156,E19A,1.0,338
unmatched,8000173,E20A,1.0,339
unmatched,8000161,E01R,0.0,339
unmatched,8000162,E03R,1.0,339
unmatched,8000163,E05R,0.0,339
unmatched,8000164,E07R,0.0,339
unmatched,8000165,E02R,1.0,339
unmatched,8000166,E04R,0.0,339
unmatched,8000167,E06R,1.0,339
unmatched,8000168,E08R,1.0,339
unmatched,1900390,DALTON,0.0,339
unmatched,1901685,1,0.0,339
unmatched,1901687,3,0.0,339
unmatched,8000011,,0.0,339
unmatched,8000013,,0.0,339
unmatched,1902952,4,0.0,339
unmatched,8000217,11,6.0,339
unmatched,8000066,,0.0,340
unmatched,8000017,,0.0,340
unmatched,1901199,,0.0,340
unmatched,8000215,NA,1.0,340
unmatched,8000003,,0.0,340
unmatched,8000159,GOEDERT,0.0,340
unmatched,8000029,2946,0.0,340
unmatched,8000085,,0.0,340
unmatched,1902583,5TH AVE,0.0,340
unmatched,1901459,1,0.0,341
unmatched,1902322,SNIDO,0.0,341
unmatched,8000158,,0.0,341
unmatched,8000031,,0.0,341
unmatched,1900963,1 KIN,0.0,341
unmatched,8000074,2 SF,24.0,341
unmatched,8000090,600,0.0,341
unmatched,1902158,BN PK,0.0,341
unmatched,8000032,,0.0,341
unmatched,1902321,OLD60,0.0,341
unmatched,1902322,SNIDO,0.0,341
unmatched,1902323,M & N,0.0,341
unmatched,8000033,,0.0,342
unmatched,1900693,2,0.0,342
unmatched,8000076,2,0.0,342
unmatched,1902456,DIV 4,0.0,342
unmatched,8000219,,1.0,342
unmatched,1901034,,0.0,342
unmatched,8000037,,0.0,342
unmatched,8000038,,0.0,342
unmatched,1901307,26-A,0.0,343
unmatched,8000040,,0.0,343
unmatched,1900132,1,0.0,343
unmatched,8000041,,0.0,343
unmatched,8000151,,11.0,344
unmatched,1901670,6 BRA,0.0,344
unmatched,8000220,15,988.0,344
unmatched,1900733,5A,0.0,344
unmatched,8000038,,0.0,344
unmatched,8000084,B6B2,0.0,344
unmatched,1901435,,0.0,344
unmatched,1901440,B7B,0.0,344
unmatched,8000094,B7D,0.0,344
unmatched,1901198,1,0.0,345
unmatched,8000045,2,0.0,345
unmatched,8000124,1,6.0,345
unmatched,8000125,2,0.0,345
unmatched,8000192,15 OFFSITE,0.0,345
unmatched,8000193,NA,0.0,345
unmatched,1900342,1EB86,0.0,345
unmatched,1902151,ART-1,0.0,345
unmatched,1902154,L H-2,0.0,345
unmatched,1902266,COL-1,0.0,345
unmatched,1902269,COL-5,0.0,345
unmatched,1902286,CITY,150.0,345
unmatched,1901431,201W3,0.0,346
unmatched,1901609,106W1,0.0,346
unmatched,1901610,111W1,0.0,346
unmatched,1901611,112W1,0.0,346
unmatched,1901614,117W1,0.0,346
unmatched,1901620,126W1,0.0,346
unmatched,1902761,153W1,0.0,346
unmatched,8000218,TRAN,5.0,347
unmatched,8000049,,0.0,347
unmatched,1902532,SIERRA,0.0,347
unmatched,8000052,2,0.0,347
unmatched,8000054,4,0.0,347
unmatched,8000055,3A,0.0,347
unmatched,8000120,5,0.0,347
unmatched,8000180,6,0.0,347
unmatched,8000211,7,0.0,347
unmatched,1901435,1,0.0,347
unmatched,1901438,4,0.0,347
unmatched,1901440,6,0.0,347
unmatched,1901307,11,0.0,348
unmatched,8000191,NA,1.0,348
unmatched,1901746,10,0.0,348
unmatched,8000021,FROM,0.0,348
unmatched,8000006,1,0.0,349
unmatched,1902949,1,0.0,349
unmatched,1902950,2,0.0,349
ambiguous,11900880,VALEN,0.0,339
ambiguous,21900880,VALEN,0.0,339
